[0, Neutral, 0.028422033277593725, 0.14488926873681088, 0.43561743802315256, 0.35680743700511125, 0.03426382295733152, SENTENCE:		It is always said that competition can effectively promote the development of economy.]
[1, Neutral, 0.04275004974102184, 0.16536726228442342, 0.36461040202460954, 0.3408114730445128, 0.08646081290543224, SENTENCE:		In order to survive in the competition, companies continue to improve their products and service, and as a result, the whole society prospers.]
[2, Negative, 0.13769636170347196, 0.3998510545495941, 0.2872569783001362, 0.1608093153280254, 0.014386290118772375, SENTENCE:		However, when we discuss the issue of competition or cooperation, what we are concerned about is not the whole society, but the development of an individual's whole life.]
[3, Neutral, 0.042751426983728885, 0.16536329130499106, 0.36458990488758997, 0.34082478197394367, 0.08647059484974647, SENTENCE:		From this point of view, I firmly believe that we should attach more importance to cooperation during primary education.]
[4, Neutral, 0.02842175291922642, 0.14489044641275253, 0.43562358543578833, 0.3568017134632092, 0.03426250176902338, SENTENCE:		First of all, through cooperation, children can learn about interpersonal skills which are significant in the future life of all students.]
[5, Negative, 0.12853265646039516, 0.3792980783792643, 0.30475258751233136, 0.17154159067427377, 0.015875086973735478, SENTENCE:		What we acquired from team work is not only how to achieve the same goal with others but more importantly, how to get along with others.]
[6, Negative, 0.1283092359049533, 0.3787885888109405, 0.30518256399302074, 0.17180670549890012, 0.01591290579218537, SENTENCE:		During the process of cooperation, children can learn about how to listen to opinions of others, how to communicate with others, how to think comprehensively, and even how to compromise with other team members when conflicts occurred.]
[7, Positive, 0.013564855695530845, 0.05649656925921156, 0.12285972099959196, 0.4995302177815092, 0.30754863626415646, SENTENCE:		All of these skills help them to get on well with other people and will benefit them for the whole life.]
[8, Neutral, 0.04275004974102114, 0.16536726228442547, 0.36461040202461975, 0.3408114730445061, 0.08646081290542733, SENTENCE:		On the other hand, the significance of competition is that how to become more excellence to gain the victory.]
[9, Positive, 0.0019558764317802895, 0.017932273592538912, 0.13043810521867102, 0.5703601699656397, 0.2793135747913701, SENTENCE:		Hence it is always said that competition makes the society more effective.]
[10, Negative, 0.14726202345051456, 0.4206025031415572, 0.26929217236367214, 0.14989259861716897, 0.012950702427087079, SENTENCE:		However, when we consider about the question that how to win the game, we always find that we need the cooperation.]
[11, Positive, 0.009490489713296586, 0.08447084112662412, 0.3303766258722698, 0.5128963649625657, 0.0627656783252438, SENTENCE:		The greater our goal is, the more competition we need.]
[12, Neutral, 0.04275004974102119, 0.16536726228442544, 0.36461040202461953, 0.3408114730445065, 0.08646081290542751, SENTENCE:		Take Olympic games which is a form of competition for instance, it is hard to imagine how an athlete could win the game without the training of his or her coach, and the help of other professional staffs such as the people who take care of his diet, and those who are in charge of the medical care.]
[13, Positive, 0.01376159749998572, 0.06088052492621041, 0.13696284502647965, 0.5026611743893402, 0.2857338581579841, SENTENCE:		The winner is the athlete but the success belongs to the whole team.]
[14, Negative, 0.14377352147762096, 0.41311707245289564, 0.2758042088383588, 0.1538441302298156, 0.013461067001308934, SENTENCE:		Therefore without the cooperation, there would be no victory of competition.]
[15, Neutral, 0.042750049756684914, 0.16536726223914136, 0.36461040179123716, 0.3408114731961003, 0.08646081301683639, SENTENCE:		Consequently, no matter from the view of individual development or the relationship between competition and cooperation we can receive the same conclusion that a more cooperative attitudes towards life is more profitable in one's success.]
