none[0.0593]  arg1_node[0.9287]  arg2_node[0.0120]  arg1_node
none[0.9970]  arg1_node[0.0015]  arg2_node[0.0015]  none
none[0.9970]  arg1_node[0.0015]  arg2_node[0.0015]  none
none[0.9970]  arg1_node[0.0015]  arg2_node[0.0015]  none
none[0.9970]  arg1_node[0.0015]  arg2_node[0.0015]  none
none[0.9970]  arg1_node[0.0015]  arg2_node[0.0015]  none
none[0.9970]  arg1_node[0.0015]  arg2_node[0.0015]  none
none[0.9970]  arg1_node[0.0015]  arg2_node[0.0015]  none
none[0.9970]  arg1_node[0.0015]  arg2_node[0.0015]  none
none[0.9970]  arg1_node[0.0015]  arg2_node[0.0015]  none
none[0.9970]  arg1_node[0.0015]  arg2_node[0.0015]  none
none[0.9970]  arg1_node[0.0015]  arg2_node[0.0015]  none
none[0.9970]  arg1_node[0.0015]  arg2_node[0.0015]  none
none[0.9970]  arg1_node[0.0015]  arg2_node[0.0015]  none
none[0.3359]  arg1_node[0.0002]  arg2_node[0.6638]  arg2_node
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9805]  arg1_node[0.0000]  arg2_node[0.0195]  none
none[0.7272]  arg1_node[0.0085]  arg2_node[0.2643]  none
none[0.4341]  arg1_node[0.5365]  arg2_node[0.0294]  arg1_node
none[0.9948]  arg1_node[0.0007]  arg2_node[0.0046]  none
none[0.9948]  arg1_node[0.0007]  arg2_node[0.0046]  none
none[0.9948]  arg1_node[0.0007]  arg2_node[0.0046]  none
none[0.9927]  arg1_node[0.0009]  arg2_node[0.0064]  none
none[0.9927]  arg1_node[0.0009]  arg2_node[0.0064]  none
none[0.9927]  arg1_node[0.0009]  arg2_node[0.0064]  none
none[0.9947]  arg1_node[0.0007]  arg2_node[0.0046]  none
none[0.9947]  arg1_node[0.0007]  arg2_node[0.0046]  none
none[0.9949]  arg1_node[0.0006]  arg2_node[0.0045]  none
none[0.9949]  arg1_node[0.0006]  arg2_node[0.0045]  none
none[0.9949]  arg1_node[0.0006]  arg2_node[0.0045]  none
none[0.9949]  arg1_node[0.0006]  arg2_node[0.0045]  none
none[0.5091]  arg1_node[0.0315]  arg2_node[0.4594]  none
none[0.9788]  arg1_node[0.0184]  arg2_node[0.0028]  none
none[0.9788]  arg1_node[0.0184]  arg2_node[0.0028]  none
none[0.9807]  arg1_node[0.0000]  arg2_node[0.0193]  none
none[0.9809]  arg1_node[0.0000]  arg2_node[0.0191]  none
none[0.7808]  arg1_node[0.2184]  arg2_node[0.0008]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.2056]  arg1_node[0.7903]  arg2_node[0.0041]  arg1_node
none[0.9867]  arg1_node[0.0123]  arg2_node[0.0010]  none
none[0.9878]  arg1_node[0.0119]  arg2_node[0.0003]  none
none[0.0841]  arg1_node[0.0010]  arg2_node[0.9149]  arg2_node
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9473]  arg1_node[0.0000]  arg2_node[0.0526]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9868]  arg1_node[0.0107]  arg2_node[0.0025]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.0467]  arg1_node[0.9461]  arg2_node[0.0072]  arg1_node
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.7302]  arg1_node[0.0136]  arg2_node[0.2562]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0007]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0007]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0007]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0007]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0007]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0007]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0007]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0007]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0007]  none
none[0.9969]  arg1_node[0.0019]  arg2_node[0.0011]  none
none[0.9969]  arg1_node[0.0019]  arg2_node[0.0011]  none
none[0.9969]  arg1_node[0.0019]  arg2_node[0.0011]  none
none[0.9969]  arg1_node[0.0019]  arg2_node[0.0011]  none
none[0.9969]  arg1_node[0.0019]  arg2_node[0.0011]  none
none[0.9969]  arg1_node[0.0019]  arg2_node[0.0011]  none
none[0.9969]  arg1_node[0.0019]  arg2_node[0.0011]  none
